keyword,title,publication
smartphone_energy,"Wellbeing, emotional response and stress among lay responders dispatched to suspected out-of-hospital cardiac arrests",Resuscitation
smartphone_energy,A wearable and smart actuator for haptic stimulation,Micro and Nano Engineering
smartphone_energy,NEW generation of solar energy: Investigation and implementation of artificial solar tree application in Egypt,Solar Energy
smartphone_energy,Application of fluorescence resonance energy transfer to bioprinting,TrAC Trends in Analytical Chemistry
smartphone_energy,"Experiment and theoretical insights into CuNi/CoMoO4 multi-functional catalyst with laccase-like: Catalysis mechanism, smartphone biosensing and organic pollutant efficient degradation",Chemical Engineering Journal
smartphone_energy,Smartphone-assisted detection of nucleic acids by light-harvesting FRET-based nanoprobe,Biosensors and Bioelectronics
smartphone_energy,"Multifunctional composite coatings with hydrophobic, UV-resistant, anti-oxidative, and photothermal performance for healthcare",Colloids and Surfaces A: Physicochemical and Engineering Aspects
smartphone_energy,A flutter-driven triboelectric nanogenerator for harvesting energy of gentle breezes with a rear-fixed fluttering film,Nano Energy
smartphone_energy,A cost-effective smartphone-based device for ankle-brachial index (ABI) detection,Computer Methods and Programs in Biomedicine
smartphone_energy,Plasmon-enhanced fluorescence from synergistic engineering of graphene oxide and sharp-edged silver nanorods mediated with castor protein for cellphone-based attomolar sensing,Journal of Luminescence
smartphone_energy,Electrical and fluorescence in situ monitoring of tumor microenvironment-based pH-responsive polymer dot coated surface,Talanta
smartphone_energy,"An eco-friendly approach for analysing sugars, minerals, and colour in brown sugar using digital image processing and machine learning",Food Research International
smartphone_energy,"Carbon dots-based modularization fluorescent probe for simultaneous detection of Hg2+ and Cu2+ in water, cells and zebrafish",Dyes and Pigments
smartphone_energy,Fluorescent carbon dots based on nitrogen doped dialdehyde starch for highly selective Fe3+/glyphosate detection and its applications,Microchemical Journal
smartphone_energy,"Residential thermostat usability: Comparing manual, programmable, and smart devices",Building and Environment
smartphone_energy,Predicting smartphone battery usage using cell tower ID monitoring,Pervasive and Mobile Computing
smartphone_energy,Enabling IoT interoperability through opportunistic smartphone-based mobile gateways,Journal of Network and Computer Applications
smartphone_energy,Online knapsack of unknown capacity: How to optimize energy consumption in smartphones,Theoretical Computer Science
smartphone_energy,"Dual nanocatalysts co-decorated three-dimensional, laser-induced graphene hybrid nanomaterials integrated with a smartphone portable electrochemical system for point-of-care non-enzymatic glucose diagnosis",Materials Today Chemistry
smartphone_energy,myFC demos prototype smartphone charged by integrated fuel cell,Fuel Cells Bulletin
smartphone_energy,Assessment of lower extremity ischemia using smartphone thermographic imaging,"Journal of Vascular Surgery Cases, Innovations and Techniques"
smartphone_energy,Intelligent Energy unveils Upp to power portable devices,Fuel Cells Bulletin
smartphone_energy,Field Evaluation of the Smartphone-based Travel Behaviour Data Collection App “SmartMo”,Transportation Research Procedia
smartphone_energy,An approach for offloading in mobile cloud computing to optimize power consumption and processing time,Sustainable Computing: Informatics and Systems
smartphone_energy,An approach for offloading in mobile cloud computing to optimize power consumption and processing time,Sustainable Computing: Informatics and Systems
smartphone_energy,Opportunities for reducing the supply chain water footprint of metals used in consumer electronics,"Resources, Conservation and Recycling"
smartphone_energy,A smartphone-integrated light-up lanthanide fluorescent probe for the visual and ratiometric detection of total phosphorus in human urine and environmental water samples,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy
smartphone_energy,A wearable synergistic enhanced self-charging power module for efficient capture of energy from human movement,Nano Energy
smartphone_energy,A study on creating energy efficient cloud-connected user applications using the RMVRVM paradigm,Journal of Systems and Software
smartphone_energy,A NIR-II-emitting gold nanocluster-based drug delivery system for smartphone-triggered photodynamic theranostics with rapid body clearance,Materials Today
smartphone_energy,Smartphone assisted chromogenic sensing of halogenated solvents and monoaromatic hydrocarbons,Dyes and Pigments
smartphone_energy,Intelligent Energy in project to power smart phones for a week,Fuel Cells Bulletin
smartphone_energy,Thermal analysis of lithium ion battery-equipped smartphone explosions,"Engineering Science and Technology, an International Journal"
smartphone_energy,Ditch the pedometer – an AI in your smartphone knows better,New Scientist
smartphone_energy,An algorithm to evaluate routing conditions in smartphones-based wireless networks,Expert Systems with Applications
smartphone_energy,Internet of Things-enabled Passive Contact Tracing in Smart Cities,Internet of Things
smartphone_energy,Wearable device for personalized EMG feedback-based treatments,Results in Engineering
smartphone_energy,Hypomania/Mania by DSM-5 definition based on daily smartphone-based patient-reported assessments,Journal of Affective Disorders
smartphone_energy,An environment for automated measurement of energy consumed by mobile and embedded computing devices,Measurement
smartphone_energy,An all-in-one smartphone-assisted ratiometric fluorescent device for visual and quantitative detection of glutathione,Talanta
smartphone_energy,Developing occupant-centric smart home thermostats with energy-saving and comfort-improving goals,Energy and Buildings
smartphone_energy,"Synthesis and characterization of energy-efficient Mq2 (M=Zn, and Pb) organometallic complexes for OLED display applications: Illuminating the future of visual technology",Journal of Molecular Structure
smartphone_energy,"Deciphering the sensing mechanism in a sarin gas surrogate, diethylchlorophosphate specific probe: Colorimetric observation and theoretical analysis",Microchemical Journal
